vaccine_date,aefi
2021-11-05,0
2021-11-06,1
2021-11-07,0
2021-11-08,2
2021-11-09,3
2021-11-10,1
2021-11-11,0
2021-11-12,3
2021-11-13,1
2021-11-14,0
2021-11-15,2
2021-11-16,1
2021-11-17,0
2021-11-18,1
2021-11-19,0
2021-11-20,0
2021-11-21,1
2021-11-22,1
2021-11-23,2
2021-11-24,2
2021-11-25,3
2021-11-26,1
2021-11-27,1
2021-11-28,0
2021-11-29,0
2021-11-30,0
2021-12-01,2
2021-12-02,1
2021-12-03,2
2021-12-04,3
